"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\actuate-birt-ihub-ftype-sla.yml", "YAML", 0, 0, 0, 13, 0, 0, 1, 14
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\ada-linking-exception.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adapt-1.0.yml", "YAML", 0, 0, 0, 16, 0, 0, 1, 17
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adaptec-downloadable.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adaptec-eula.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\addthis-mobile-sdk-1.0.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adi-bsd.yml", "YAML", 0, 0, 0, 19, 0, 0, 1, 20
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-acrobat-reader-eula.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-air-sdk-2014.yml", "YAML", 0, 0, 0, 16, 0, 0, 1, 17
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-air-sdk.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-dng-sdk.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-eula.yml", "YAML", 0, 0, 0, 13, 0, 0, 1, 14
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-flash-player-eula-21.0.yml", "YAML", 0, 0, 0, 26, 0, 0, 1, 27
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-flex-4-sdk.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-flex-sdk.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-general-tou.yml", "YAML", 0, 0, 0, 21, 0, 0, 1, 22
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-glyph.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-indesign-sdk.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-postscript.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adobe-scl.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adrian.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\adsl.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aes-128-3.0.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afl-1.1.yml", "YAML", 0, 0, 0, 23, 0, 0, 1, 24
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afl-1.2.yml", "YAML", 0, 0, 0, 22, 0, 0, 1, 23
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afl-2.0.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afl-2.1.yml", "YAML", 0, 0, 0, 20, 0, 0, 1, 21
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afl-3.0.yml", "YAML", 0, 0, 0, 23, 0, 0, 1, 24
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afmparse.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afpl-8.0.yml", "YAML", 0, 0, 0, 16, 0, 0, 1, 17
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\afpl-9.0.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agate license.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agentxpp.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agere-bsd.yml", "YAML", 0, 0, 0, 26, 0, 0, 1, 27
